,player_name,hand_id,starting_bankroll,net_earning,player_cards,play_cards_value,community_cards,WIN,T_CARDS,best_hand
10856,Ronin,1004422917,1050,10,6d7h,67,Kd2cKcKsTd,True,6D 7H KD 2C KC KS TD,"('three-of-a-kind', 'K')"
10857,Ronin,1004422969,1025,-100,AhQh,AQ,5hJs7d7h9d,False,AH QH 5H JS 7D 7H 9D,"('one-pair', ['7', 'A', 'Q', 'J'])"
10858,Ronin,1004423227,965,-10,6s9s,69,8c3h8dQh2h,False,6S 9S 8C 3H 8D QH 2H,"('one-pair', ['8', 'Q', '9', '6'])"
10859,Ronin,1004423373,1120,40,4c4h,44,4d8sTh6s7s,True,4C 4H 4D 8S TH 6S 7S,"('three-of-a-kind', '4')"
10860,Ronin,1004423430,1140,30,Jh8s,J8,Jc7h4s7c9s,True,JH 8S JC 7H 4S 7C 9S,"('two-pair', ['J', '7', '9'])"
10861,Ronin,1004423464,1180,80,JdQd,JQ,8hTs2hJc7c,True,JD QD 8H TS 2H JC 7C,"('one-pair', ['J', 'Q', 'T', '8'])"
10862,Ronin,1004423491,1235,-30,Jc8s,J8,5sKs2dQhAh,False,JC 8S 5S KS 2D QH AH,"('high_card', 'A')"
10863,Ronin,1004423502,1205,70,TdQs,TQ,TsAsAdKhKd,True,TD QS TS AS AD KH KD,"('two-pair', ['A', 'K', 'Q'])"
10864,Ronin,1004423528,1275,-10,7sKd,7K,9c8hAh3s6h,False,7S KD 9C 8H AH 3S 6H,"('high_card', 'A')"
10865,Ronin,1004423557,1225,-70,Qc7s,Q7,8s8h7hKc9h,False,QC 7S 8S 8H 7H KC 9H,"('two-pair', ['8', '7', 'K'])"
10866,Ronin,1004423623,1245,30,Th3s,T3,4s2dKhTc8s,True,TH 3S 4S 2D KH TC 8S,"('one-pair', ['T', 'K', '8', '4'])"
10867,Ronin,1004423698,1290,30,Qh8s,Q8,7d9d3c6c5c,True,QH 8S 7D 9D 3C 6C 5C,"('straight', '9')"
10868,Ronin,1004423714,1325,-60,5s9h,59,AdKh9s3dTc,False,5S 9H AD KH 9S 3D TC,"('one-pair', ['9', 'A', 'K', 'T'])"
10869,Ronin,1004423731,1255,-50,KsQh,KQ,2c8d5c5h4s,False,KS QH 2C 8D 5C 5H 4S,"('one-pair', ['5', 'K', 'Q', '8'])"
10870,Ronin,1004423937,1305,-30,Jh8c,J8,4d9d9hQs9c,False,JH 8C 4D 9D 9H QS 9C,"('three-of-a-kind', '9')"
10871,Ronin,1004423955,1275,-120,9cQs,9Q,7cQc7d3c3s,False,9C QS 7C QC 7D 3C 3S,"('two-pair', ['Q', '7', '9'])"
10872,Ronin,1004424041,1180,90,JdTc,JT,JhKh7s6s4c,True,JD TC JH KH 7S 6S 4C,"('one-pair', ['J', 'K', 'T', '7'])"
10873,Ronin,1004424095,1240,-70,As5s,A5,8c7d3c9hJs,False,AS 5S 8C 7D 3C 9H JS,"('high_card', 'J')"
10874,Ronin,1004424160,1225,-60,Tc6d,T6,Js6s7hTs8s,False,TC 6D JS 6S 7H TS 8S,"('two-pair', ['T', '6', 'J'])"
10875,Ronin,1004424185,1165,-90,8c8s,88,4s2cJh5dKd,False,8C 8S 4S 2C JH 5D KD,"('one-pair', ['8', 'K', 'J', '5'])"
10876,Surge,1002341579,1025,55,AhQs,AQ,3s9h9d7hTc,True,AH QS 3S 9H 9D 7H TC,"('one-pair', ['9', 'A', 'Q', 'T'])"
10877,Surge,1002341703,1195,145,QsQc,QQ,3dTcKc3s2h,True,QS QC 3D TC KC 3S 2H,"('two-pair', ['Q', '3', 'K'])"
